"","ref_date","financial_market_statistics","value"
"6237",2018-07-14,"Real return benchmark bond yield, long term",0
"6238",2018-07-14,"Target rate",0
"6239",2018-07-15,"Real return benchmark bond yield, long term",0
"6240",2018-07-15,"Target rate",0
"6241",2018-07-16,"Real return benchmark bond yield, long term",0.4755
"6242",2018-07-16,"Target rate",1.5
"6243",2018-07-17,"Real return benchmark bond yield, long term",0.4679
"6244",2018-07-17,"Target rate",1.5
"6245",2018-07-18,"Real return benchmark bond yield, long term",0.512
"6246",2018-07-18,"Target rate",1.5
"6247",2018-07-19,"Real return benchmark bond yield, long term",0.4927
"6248",2018-07-19,"Target rate",1.5
"6249",2018-07-20,"Real return benchmark bond yield, long term",0.5433
"6250",2018-07-20,"Target rate",1.5
"6251",2018-07-21,"Real return benchmark bond yield, long term",0
"6252",2018-07-21,"Target rate",0
"6253",2018-07-22,"Real return benchmark bond yield, long term",0
"6254",2018-07-22,"Target rate",0
"6255",2018-07-23,"Real return benchmark bond yield, long term",0.5782
"6256",2018-07-23,"Target rate",1.5
"6257",2018-07-24,"Real return benchmark bond yield, long term",0.568
"6258",2018-07-24,"Target rate",1.5
"6259",2018-07-25,"Real return benchmark bond yield, long term",0.6074
"6260",2018-07-25,"Target rate",1.5
"6261",2018-07-26,"Real return benchmark bond yield, long term",0.6222
"6262",2018-07-26,"Target rate",1.5
"6263",2018-07-27,"Real return benchmark bond yield, long term",0.63
"6264",2018-07-27,"Target rate",1.5
"6265",2018-07-28,"Real return benchmark bond yield, long term",0
"6266",2018-07-28,"Target rate",0
"6267",2018-07-29,"Real return benchmark bond yield, long term",0
"6268",2018-07-29,"Target rate",0
"6269",2018-07-30,"Real return benchmark bond yield, long term",0.6261
"6270",2018-07-30,"Target rate",1.5
"6271",2018-07-31,"Real return benchmark bond yield, long term",0.6075
"6272",2018-07-31,"Target rate",1.5
"6273",2018-08-01,"Real return benchmark bond yield, long term",0.6353
"6274",2018-08-01,"Target rate",1.5
"6275",2018-08-02,"Real return benchmark bond yield, long term",0.6418
"6276",2018-08-02,"Target rate",1.5
"6277",2018-08-03,"Real return benchmark bond yield, long term",0.6237
"6278",2018-08-03,"Target rate",1.5
"6279",2018-08-04,"Real return benchmark bond yield, long term",0
"6280",2018-08-04,"Target rate",0
"6281",2018-08-05,"Real return benchmark bond yield, long term",0
"6282",2018-08-05,"Target rate",0
"6283",2018-08-06,"Real return benchmark bond yield, long term",NA
"6284",2018-08-06,"Target rate",1.5
"6285",2018-08-07,"Real return benchmark bond yield, long term",0.6566
"6286",2018-08-07,"Target rate",1.5
"6287",2018-08-08,"Real return benchmark bond yield, long term",0.6474
"6288",2018-08-08,"Target rate",1.5
"6289",2018-08-09,"Real return benchmark bond yield, long term",0.6291
"6290",2018-08-09,"Target rate",1.5
"6291",2018-08-10,"Real return benchmark bond yield, long term",0.5955
"6292",2018-08-10,"Target rate",1.5
"6293",2018-08-11,"Real return benchmark bond yield, long term",0
"6294",2018-08-11,"Target rate",0
"6295",2018-08-12,"Real return benchmark bond yield, long term",0
"6296",2018-08-12,"Target rate",0
"6297",2018-08-13,"Real return benchmark bond yield, long term",0.6056
"6298",2018-08-13,"Target rate",1.5
"6299",2018-08-14,"Real return benchmark bond yield, long term",0.6266
"6300",2018-08-14,"Target rate",1.5
"6301",2018-08-15,"Real return benchmark bond yield, long term",0.5718
"6302",2018-08-15,"Target rate",1.5
"6303",2018-08-16,"Real return benchmark bond yield, long term",0.5621
"6304",2018-08-16,"Target rate",1.5
"6305",2018-08-17,"Real return benchmark bond yield, long term",0.5485
"6306",2018-08-17,"Target rate",1.5
"6307",2018-08-18,"Real return benchmark bond yield, long term",0
"6308",2018-08-18,"Target rate",0
"6309",2018-08-19,"Real return benchmark bond yield, long term",0
"6310",2018-08-19,"Target rate",0
"6311",2018-08-20,"Real return benchmark bond yield, long term",0.5337
"6312",2018-08-20,"Target rate",1.5
"6313",2018-08-21,"Real return benchmark bond yield, long term",0.5467
"6314",2018-08-21,"Target rate",1.5
"6315",2018-08-22,"Real return benchmark bond yield, long term",0.5425
"6316",2018-08-22,"Target rate",1.5
"6317",2018-08-23,"Real return benchmark bond yield, long term",0.5446
"6318",2018-08-23,"Target rate",1.5
"6319",2018-08-24,"Real return benchmark bond yield, long term",0.5502
"6320",2018-08-24,"Target rate",1.5
"6321",2018-08-25,"Real return benchmark bond yield, long term",0
"6322",2018-08-25,"Target rate",0
"6323",2018-08-26,"Real return benchmark bond yield, long term",0
"6324",2018-08-26,"Target rate",0
"6325",2018-08-27,"Real return benchmark bond yield, long term",0.5796
"6326",2018-08-27,"Target rate",1.5
"6327",2018-08-28,"Real return benchmark bond yield, long term",0.5943
"6328",2018-08-28,"Target rate",1.5
"6329",2018-08-29,"Real return benchmark bond yield, long term",0.6026
"6330",2018-08-29,"Target rate",1.5
"6331",2018-08-30,"Real return benchmark bond yield, long term",0.5782
"6332",2018-08-30,"Target rate",1.5
"6333",2018-08-31,"Real return benchmark bond yield, long term",0.5436
"6334",2018-08-31,"Target rate",1.5
"6335",2018-09-01,"Real return benchmark bond yield, long term",0
"6336",2018-09-01,"Target rate",0
"6337",2018-09-02,"Real return benchmark bond yield, long term",0
"6338",2018-09-02,"Target rate",0
"6339",2018-09-03,"Real return benchmark bond yield, long term",NA
"6340",2018-09-03,"Target rate",1.5
"6341",2018-09-04,"Real return benchmark bond yield, long term",0.5512
"6342",2018-09-04,"Target rate",1.5
"6343",2018-09-05,"Real return benchmark bond yield, long term",0.5616
"6344",2018-09-05,"Target rate",1.5
"6345",2018-09-06,"Real return benchmark bond yield, long term",0.5623
"6346",2018-09-06,"Target rate",1.5
"6347",2018-09-07,"Real return benchmark bond yield, long term",0.6064
"6348",2018-09-07,"Target rate",1.5
"6349",2018-09-08,"Real return benchmark bond yield, long term",0
"6350",2018-09-08,"Target rate",0
"6351",2018-09-09,"Real return benchmark bond yield, long term",0
"6352",2018-09-09,"Target rate",0
"6353",2018-09-10,"Real return benchmark bond yield, long term",0.6071
"6354",2018-09-10,"Target rate",1.5
"6355",2018-09-11,"Real return benchmark bond yield, long term",0.6434
"6356",2018-09-11,"Target rate",1.5
"6357",2018-09-12,"Real return benchmark bond yield, long term",0.6287
"6358",2018-09-12,"Target rate",1.5
"6359",2018-09-13,"Real return benchmark bond yield, long term",0.6341
"6360",2018-09-13,"Target rate",1.5
"6361",2018-09-14,"Real return benchmark bond yield, long term",0.6409
"6362",2018-09-14,"Target rate",1.5
"6363",2018-09-15,"Real return benchmark bond yield, long term",0
"6364",2018-09-15,"Target rate",0
"6365",2018-09-16,"Real return benchmark bond yield, long term",0
"6366",2018-09-16,"Target rate",0
"6367",2018-09-17,"Real return benchmark bond yield, long term",0.6375
"6368",2018-09-17,"Target rate",1.5
"6369",2018-09-18,"Real return benchmark bond yield, long term",0.6615
"6370",2018-09-18,"Target rate",1.5
"6371",2018-09-19,"Real return benchmark bond yield, long term",0.6759
"6372",2018-09-19,"Target rate",1.5
"6373",2018-09-20,"Real return benchmark bond yield, long term",0.6794
"6374",2018-09-20,"Target rate",1.5
"6375",2018-09-21,"Real return benchmark bond yield, long term",0.6785
"6376",2018-09-21,"Target rate",1.5
"6377",2018-09-22,"Real return benchmark bond yield, long term",0
"6378",2018-09-22,"Target rate",0
"6379",2018-09-23,"Real return benchmark bond yield, long term",0
"6380",2018-09-23,"Target rate",0
"6381",2018-09-24,"Real return benchmark bond yield, long term",0.6851
"6382",2018-09-24,"Target rate",1.5
"6383",2018-09-25,"Real return benchmark bond yield, long term",0.6984
"6384",2018-09-25,"Target rate",1.5
"6385",2018-09-26,"Real return benchmark bond yield, long term",0.6588
"6386",2018-09-26,"Target rate",1.5
"6387",2018-09-27,"Real return benchmark bond yield, long term",0.6518
"6388",2018-09-27,"Target rate",1.5
"6389",2018-09-28,"Real return benchmark bond yield, long term",0.6667
"6390",2018-09-28,"Target rate",1.5
"6391",2018-09-29,"Real return benchmark bond yield, long term",0
"6392",2018-09-29,"Target rate",0
"6393",2018-09-30,"Real return benchmark bond yield, long term",0
"6394",2018-09-30,"Target rate",0
"6395",2018-10-01,"Real return benchmark bond yield, long term",0.7374
"6396",2018-10-01,"Target rate",1.5
"6397",2018-10-02,"Real return benchmark bond yield, long term",0.7066
"6398",2018-10-02,"Target rate",1.5
"6399",2018-10-03,"Real return benchmark bond yield, long term",0.7588
"6400",2018-10-03,"Target rate",1.5
"6401",2018-10-04,"Real return benchmark bond yield, long term",0.7797
"6402",2018-10-04,"Target rate",1.5
"6403",2018-10-05,"Real return benchmark bond yield, long term",0.8164
"6404",2018-10-05,"Target rate",1.5
"6405",2018-10-06,"Real return benchmark bond yield, long term",0
"6406",2018-10-06,"Target rate",0
"6407",2018-10-07,"Real return benchmark bond yield, long term",0
"6408",2018-10-07,"Target rate",0
"6409",2018-10-08,"Real return benchmark bond yield, long term",NA
"6410",2018-10-08,"Target rate",1.5
"6411",2018-10-09,"Real return benchmark bond yield, long term",0.789
"6412",2018-10-09,"Target rate",1.5
"6413",2018-10-10,"Real return benchmark bond yield, long term",0.8005
"6414",2018-10-10,"Target rate",1.5
"6415",2018-10-11,"Real return benchmark bond yield, long term",0.7697
"6416",2018-10-11,"Target rate",1.5
"6417",2018-10-12,"Real return benchmark bond yield, long term",0.7689
"6418",2018-10-12,"Target rate",1.5
"6419",2018-10-13,"Real return benchmark bond yield, long term",0
"6420",2018-10-13,"Target rate",0
"6421",2018-10-14,"Real return benchmark bond yield, long term",0
"6422",2018-10-14,"Target rate",0
"6423",2018-10-15,"Real return benchmark bond yield, long term",0.784
"6424",2018-10-15,"Target rate",1.5
"6425",2018-10-16,"Real return benchmark bond yield, long term",0.7807
"6426",2018-10-16,"Target rate",1.5
"6427",2018-10-17,"Real return benchmark bond yield, long term",0.7916
"6428",2018-10-17,"Target rate",1.5
"6429",2018-10-18,"Real return benchmark bond yield, long term",0.7834
"6430",2018-10-18,"Target rate",1.5
"6431",2018-10-19,"Real return benchmark bond yield, long term",0.8054
"6432",2018-10-19,"Target rate",1.5
"6433",2018-10-20,"Real return benchmark bond yield, long term",0
"6434",2018-10-20,"Target rate",0
"6435",2018-10-21,"Real return benchmark bond yield, long term",0
"6436",2018-10-21,"Target rate",0
"6437",2018-10-22,"Real return benchmark bond yield, long term",0.7948
"6438",2018-10-22,"Target rate",1.5
"6439",2018-10-23,"Real return benchmark bond yield, long term",0.7861
"6440",2018-10-23,"Target rate",1.5
"6441",2018-10-24,"Real return benchmark bond yield, long term",0.7671
"6442",2018-10-24,"Target rate",1.75
"6443",2018-10-25,"Real return benchmark bond yield, long term",0.7873
"6444",2018-10-25,"Target rate",1.75
"6445",2018-10-26,"Real return benchmark bond yield, long term",0.7326
"6446",2018-10-26,"Target rate",1.75
"6447",2018-10-27,"Real return benchmark bond yield, long term",0
"6448",2018-10-27,"Target rate",0
"6449",2018-10-28,"Real return benchmark bond yield, long term",0
"6450",2018-10-28,"Target rate",0
"6451",2018-10-29,"Real return benchmark bond yield, long term",0.7322
"6452",2018-10-29,"Target rate",1.75
"6453",2018-10-30,"Real return benchmark bond yield, long term",0.7878
"6454",2018-10-30,"Target rate",1.75
"6455",2018-10-31,"Real return benchmark bond yield, long term",0.8142
"6456",2018-10-31,"Target rate",1.75
"6457",2018-11-01,"Real return benchmark bond yield, long term",0.8221
"6458",2018-11-01,"Target rate",1.75
"6459",2018-11-02,"Real return benchmark bond yield, long term",0.8612
"6460",2018-11-02,"Target rate",1.75
"6461",2018-11-03,"Real return benchmark bond yield, long term",0
"6462",2018-11-03,"Target rate",0
"6463",2018-11-04,"Real return benchmark bond yield, long term",0
"6464",2018-11-04,"Target rate",0
"6465",2018-11-05,"Real return benchmark bond yield, long term",0.8378
"6466",2018-11-05,"Target rate",1.75
"6467",2018-11-06,"Real return benchmark bond yield, long term",0.8407
"6468",2018-11-06,"Target rate",1.75
"6469",2018-11-07,"Real return benchmark bond yield, long term",0.8297
"6470",2018-11-07,"Target rate",1.75
"6471",2018-11-08,"Real return benchmark bond yield, long term",0.8352
"6472",2018-11-08,"Target rate",1.75
"6473",2018-11-09,"Real return benchmark bond yield, long term",0.806
"6474",2018-11-09,"Target rate",1.75
"6475",2018-11-10,"Real return benchmark bond yield, long term",0
"6476",2018-11-10,"Target rate",0
"6477",2018-11-11,"Real return benchmark bond yield, long term",0
"6478",2018-11-11,"Target rate",0
"6479",2018-11-12,"Real return benchmark bond yield, long term",NA
"6480",2018-11-12,"Target rate",1.75
"6481",2018-11-13,"Real return benchmark bond yield, long term",0.7862
"6482",2018-11-13,"Target rate",1.75
"6483",2018-11-14,"Real return benchmark bond yield, long term",0.7596
"6484",2018-11-14,"Target rate",1.75
"6485",2018-11-15,"Real return benchmark bond yield, long term",0.7376
"6486",2018-11-15,"Target rate",1.75
"6487",2018-11-16,"Real return benchmark bond yield, long term",0.7226
"6488",2018-11-16,"Target rate",1.75
"6489",2018-11-17,"Real return benchmark bond yield, long term",0
"6490",2018-11-17,"Target rate",0
"6491",2018-11-18,"Real return benchmark bond yield, long term",0
"6492",2018-11-18,"Target rate",0
"6493",2018-11-19,"Real return benchmark bond yield, long term",0.7291
"6494",2018-11-19,"Target rate",1.75
"6495",2018-11-20,"Real return benchmark bond yield, long term",0.7373
"6496",2018-11-20,"Target rate",1.75
"6497",2018-11-21,"Real return benchmark bond yield, long term",0.7489
"6498",2018-11-21,"Target rate",1.75
"6499",2018-11-22,"Real return benchmark bond yield, long term",0.7508
"6500",2018-11-22,"Target rate",1.75
"6501",2018-11-23,"Real return benchmark bond yield, long term",0.7348
"6502",2018-11-23,"Target rate",1.75
"6503",2018-11-24,"Real return benchmark bond yield, long term",0
"6504",2018-11-24,"Target rate",0
"6505",2018-11-25,"Real return benchmark bond yield, long term",0
"6506",2018-11-25,"Target rate",0
"6507",2018-11-26,"Real return benchmark bond yield, long term",0.7447
"6508",2018-11-26,"Target rate",1.75
"6509",2018-11-27,"Real return benchmark bond yield, long term",0.7634
"6510",2018-11-27,"Target rate",1.75
"6511",2018-11-28,"Real return benchmark bond yield, long term",0.8433
"6512",2018-11-28,"Target rate",1.75
"6513",2018-11-29,"Real return benchmark bond yield, long term",0.8423
"6514",2018-11-29,"Target rate",1.75
"6515",2018-11-30,"Real return benchmark bond yield, long term",0.8402
"6516",2018-11-30,"Target rate",1.75
"6517",2018-12-01,"Real return benchmark bond yield, long term",0
"6518",2018-12-01,"Target rate",0
"6519",2018-12-02,"Real return benchmark bond yield, long term",0
"6520",2018-12-02,"Target rate",0
"6521",2018-12-03,"Real return benchmark bond yield, long term",0.7896
"6522",2018-12-03,"Target rate",1.75
"6523",2018-12-04,"Real return benchmark bond yield, long term",0.7326
"6524",2018-12-04,"Target rate",1.75
"6525",2018-12-05,"Real return benchmark bond yield, long term",0.7117
"6526",2018-12-05,"Target rate",1.75
"6527",2018-12-06,"Real return benchmark bond yield, long term",0.73
"6528",2018-12-06,"Target rate",1.75
"6529",2018-12-07,"Real return benchmark bond yield, long term",0.7211
"6530",2018-12-07,"Target rate",1.75
"6531",2018-12-08,"Real return benchmark bond yield, long term",0
"6532",2018-12-08,"Target rate",0
"6533",2018-12-09,"Real return benchmark bond yield, long term",0
"6534",2018-12-09,"Target rate",0
"6535",2018-12-10,"Real return benchmark bond yield, long term",0.7165
"6536",2018-12-10,"Target rate",1.75
"6537",2018-12-11,"Real return benchmark bond yield, long term",0.7456
"6538",2018-12-11,"Target rate",1.75
"6539",2018-12-12,"Real return benchmark bond yield, long term",0.7999
"6540",2018-12-12,"Target rate",1.75
"6541",2018-12-13,"Real return benchmark bond yield, long term",0.851
"6542",2018-12-13,"Target rate",1.75
"6543",2018-12-14,"Real return benchmark bond yield, long term",0.8093
"6544",2018-12-14,"Target rate",1.75
"6545",2018-12-15,"Real return benchmark bond yield, long term",0
"6546",2018-12-15,"Target rate",0
